Tipologia,Modello,Produzione,Pressa,GruppoTaglio,Trabatto,Elevatore,Essiccatoio,Raffreddatore,Formatrice,GruppoFormazione,Cuocitore,Niditrice,Telaio,OreSE,OreSSP,OreSSH,OreCQ,OreCIE,OreCIS,CostoManodoperaCE,CostoManodoperaUL,CostoMaterialiCE,CostoMaterialiUL,Dimensioni,CostoTotaleCE,CostoTotaleUL
Pasta Corta,TCM Ecosystem,500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM Ecosystem,750,FA.ST. 160.1-400 TV,LANDUCCI/NICCOLAI,"TMU/8,5/ATR",Z 400 STD,"TCM-ECOSYSTEM 7,1/9",R.M.N. 2/1,,,,,,,80,40,40,350,30,80,20060,25075,61777.73,74133.27840000001,,81837.73
Pasta Corta,TCM Ecosystem,1000,FA.ST. 160.1-460 TV,LANDUCCI/NICCOLAI,TMU/11/ATR,Z 400 STD,"TCM-ECOSYSTEM 9,6/9",RMN-F 2/1-1,,,,,,,90,40,40,370,35,80,21155,26443.75,65573.51,78688.2096,,86728.51
Pasta Corta,TCM Ecosystem,1500,FA.ST. 200.1-520 TV,LANDUCCI/NICCOLAI,TMU/13/ATR,Z 400 STD,"TCM-ECOSYSTEM 10,9/11",RMN-F 3/1-1,,,,,,,90,40,40,400,40,80,22170,27712.5,68047.98,81657.576,,90217.98
Pasta Corta,TCM Ecosystem,2000,FA.ST. 210.1-600 TV,LANDUCCI/NICCOLAI,TMU/15/ATR,Z 600 STD,"TCM-ECOSYSTEM 14,6/11",RMN-F 3/1-1,,,,,,,90,40,40,435,40,80,23185,28981.25,69285.22,83142.2592,,92470.22
Pasta Corta,TCM Ecosystem,2000,FA.ST. 160.2-460 TV,LANDUCCI/NICCOLAI,TMU/11/ATR,Z 600 STD,"TCM-ECOSYSTEM 14,6/11",RMN-F 3/1-1,,,,,,,100,45,45,480,45,80,25385,31731.25,76285.22,91542.2592,,101670.22
Pasta Corta,TCM Ecosystem,2500,FA.ST. 225.1-670 TV,LANDUCCI/NICCOLAI,TMU/19/ATR,Z 600 STD,"TCM-ECOSYSTEM 17,1/11",RMN-F 4/1-1,,,,,,,100,40,40,460,45,80,24425,30531.25,71759.69,86111.62560000001,,96184.69
Pasta Corta,TCM Ecosystem,3000,FA.ST. 245.1-670 TV 2I,LANDUCCI/NICCOLAI,TMU/19/ATR,Z 600 STD,"TCM-L-ECOSYSTEM 14,6/13",RMN-F 4/1-1,,,,,,,100,40,40,480,45,80,25005,31256.25,74234.16,89080.992,,99239.16
Pasta Corta,TCM Ecosystem,3500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM Ecosystem,4000,FA.ST. 210.2-600 TV,LANDUCCI/NICCOLAI,"TMU/26,5/ATR",Z 800 GP STD ,"TCM-L-ECOSYSTEM 18,4/13",RMNL-F 4/1-1,,,,,,,110,50,50,520,50,100,28200,35250,90318.23,108381.8736,,118518.23
Pasta Corta,TCM Ecosystem,4500,FA.ST. 210.2-600 TV,LANDUCCI/NICCOLAI,"TMU/26,5/ATR",Z 800 GP STD,"TCM-L-ECOSYSTEM 20,9/13",RMNL-F 5/1-1,,,,,,,110,50,50,530,50,100,28490,35612.5,92792.7,111351.23999999999,,121282.7
Pasta Corta,TCM Ecosystem,5000,FA.ST. 225.2-670 TV,LANDUCCI/NICCOLAI,TMD/19/VS,Z 800 GP STD,"TCM-L-ECOSYSTEM 23,4/13",RMNL-F 5/1-1,,,,,,,110,50,50,550,50,100,29070,36337.5,100216.12,120259.33919999999,,129286.12
Pasta Corta,TCM Ecosystem,5500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM Ecosystem,6000,FA.ST. 245.2-670 TV,LANDUCCI/NICCOLAI,TMD/19/VS,Z 1100 GP STD,"TCM-L-ECOSYSTEM 23,4/15",RMNL-F 6/1-1,,,,,,,110,50,50,620,60,100,31390,39237.5,105165.06,126198.072,,136555.06
Pasta Corta,TCM Ecosystem,8000,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM Ecosystem,9000,FA.ST. 210.4-600 TV,LANDUCCI/NICCOLAI,"TMD 26,5",ND,"TCM-L INC. V.V. 15,9/17 + TCM-L ESS. 14,6/15",RMN_L-F 9/2-1,,,,,,,120,70,60,760,60,120,37720,47150,148468.32,178161.984,,186188.32
Pasta Corta,TCM Ecosystem,12000,FA.ST. 245.4-670,LANDUCCI/NICCOLAI,TMD 36,ND,"TCM-L INC. V.V. 19,6/17 + Z 1600 GP + TCM-L ESS. 18,4/15",RMN_L-F 12/1-2,,,,,,,130,100,80,900,100,160,46730,58412.5,167026.86,200432.232,,213756.86
Pasta Corta,TCM Ecosystem,CE,,,,,,,,,,,,,,,,,,,,,,,,
Pasta Corta,TCM Ecosystem,PRODUZIONE,DESCRIZIONE,,,,,,,,,,,,,,,,,,,,,Totale Costo Materiali QE(Materiale Fuori STANDARD e/o Normative UL/EN),,
Pasta Corta,TCM Ecosystem,750,FA.ST. 160.1-400 TV,LANDUCCI/NICCOLAI,"TMU/8,5/ATR",Z 400 STD,"TCM-ECOSYSTEM 7,1/9",R.M.N. 2/1,,,,,,0,80,40,40,350,30,80,20060,25075,61777.73,74133.27840000001,,81837.73
Pasta Corta,TCM Ecosystem,NORME,Piano Normativo di riferimento - CE,,,,,,,,,,,,,,,,,,,,,,,
Pasta Corta,TCM 100,500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM 100,750,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM 100,1000,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM 100,1500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM 100,2000,FA.ST. 210.1-600 TV,LANDUCCI/NICCOLAI,TMU 15,Z 600 STD,"TCM-L-100 13,4/7",RMN 3/1-1,,,,,,,90,40,40,435,50,80,23475,29343.75,69285.22,83142.2592,,92760.22
Pasta Corta,TCM 100,2500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
Pasta Corta,TCM 100,3000,FA.ST. 245.1-670 TV/ID,LANDUCCI/NICCOLAI,TMU 19 ,Z 600 STD,"TCM-L-100 14,6/9",RMN-F 4/1-1,,,,,,,100,40,40,480,55,80,25295,31618.75,74234.16,89080.992,,99529.16
Pasta Corta,TCM 100,3500,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0
